,Genesee,Ingham,Isabella,Kalamazoo,Kent,Macomb,Oakland,Ottawa,Washtenaw,Wayne
2021-03-08,171.02,39.92,33.07,137.21,128.76,159.93,157.55,136.02,75.96,136.49
2021-03-09,160.96,47.55,35.68,134.19,138.17,150.7,150.99,166.35,82.95,132.94
2021-03-10,174.2,45.96,39.89,148.16,140.02,167.38,159.75,161.39,83.02,140.71
2021-03-11,173.57,47.71,38.55,139.44,140.0,165.02,163.45,149.26,85.66,144.58
2021-03-12,,,,,,,,,,
2021-03-13,193.12,64.02,56.83,220.84,204.03,198.89,208.89,204.44,122.03,199.26
2021-03-14,160.96,34.26,33.8,132.23,114.28,137.8,143.67,134.91,70.69,141.57
2021-03-15,174.65,37.01,36.28,124.69,115.78,148.08,147.43,130.1,67.48,121.87
2021-03-16,174.01,40.66,43.04,147.6,126.65,154.41,152.88,140.16,71.71,132.94
2021-03-17,196.18,79.52,58.43,222.4,156.23,179.94,177.15,180.92,88.37,171.64
2021-03-18,172.17,40.83,46.32,139.22,140.69,157.58,149.59,155.99,77.51,132.22
2021-03-19,230.96,56.53,56.22,193.18,189.85,190.24,204.69,187.5,112.66,178.95
2021-03-20,193.12,64.71,63.52,201.79,222.73,194.32,219.39,242.97,149.32,207.48
2021-03-21,161.02,41.3,33.8,136.03,141.57,161.62,161.56,153.33,95.8,156.28
2021-03-22,187.45,45.42,47.05,150.28,142.44,168.67,167.75,172.71,87.79,146.51
2021-03-23,175.99,48.53,43.57,169.22,147.13,166.85,165.4,189.2,94.61,143.62
2021-03-24,176.5,45.01,41.77,163.85,151.7,175.77,173.79,174.78,81.3,157.94
2021-03-25,179.62,45.36,46.52,160.78,137.85,170.18,174.11,153.48,85.28,149.77
2021-03-26,199.62,54.4,47.05,163.58,173.62,190.06,194.45,193.71,107.3,176.83
2021-03-27,195.16,53.42,60.24,163.07,213.94,197.93,211.19,215.83,122.24,208.52
2021-03-28,137.9,32.74,28.92,103.97,110.77,133.87,131.0,121.75,71.96,128.66
2021-03-29,184.97,41.07,38.29,148.04,148.98,161.85,167.33,156.14,81.38,148.42
2021-03-30,187.13,43.38,38.29,151.51,159.64,172.68,178.85,181.36,93.35,163.03
2021-03-31,174.78,42.5,40.9,154.86,144.89,182.92,174.34,156.07,80.53,151.73
2021-04-01,189.36,43.56,46.59,149.33,154.75,168.45,170.06,173.82,86.33,159.85
2021-04-02,209.17,49.3,43.91,172.46,186.19,185.5,203.83,205.62,119.25,189.79
2021-04-03,191.08,40.76,38.02,159.55,169.89,177.16,194.63,172.63,139.44,198.22
2021-04-04,126.43,24.76,25.7,100.78,91.52,118.71,114.43,99.19,71.56,133.53
2021-04-05,176.75,38.2,42.44,156.54,143.46,160.2,157.47,151.85,76.57,143.18
2021-04-06,197.9,46.1,47.12,164.64,147.73,182.05,187.76,175.59,103.48,172.97
2021-04-07,208.73,51.57,50.74,156.26,150.17,190.2,190.9,196.52,105.4,183.16
2021-04-08,186.69,48.93,41.43,162.46,148.59,180.63,176.21,169.82,99.59,149.91
2021-04-09,209.68,62.99,53.88,188.1,168.16,195.83,213.34,197.19,143.92,200.98
2021-04-10,207.13,60.1,57.76,181.73,177.3,188.03,216.02,181.51,140.79,203.07
2021-04-11,150.64,38.79,39.36,128.38,114.48,144.24,150.72,126.41,80.21,141.39
2021-04-12,178.41,45.0,40.63,160.56,151.75,162.49,160.56,155.18,82.6,144.47
2021-04-13,201.02,48.6,46.59,164.02,153.38,183.14,184.3,178.92,103.09,160.23
2021-04-14,197.26,48.21,37.75,154.53,152.59,175.26,170.57,167.09,92.78,149.77
2021-04-15,202.93,47.22,41.5,151.51,148.86,167.68,171.88,166.27,93.61,145.88
2021-04-16,209.43,62.65,54.75,195.03,201.92,190.96,200.59,247.86,127.8,180.44
2021-04-17,205.29,69.74,48.73,209.72,234.43,198.89,210.89,254.96,151.84,204.63
2021-04-18,154.33,40.86,33.6,136.82,131.43,151.22,156.63,148.22,90.26,143.75
2021-04-19,193.25,40.87,30.86,139.61,139.95,167.1,160.89,152.29,75.03,142.09
2021-04-20,183.89,44.47,32.93,145.42,145.68,164.46,158.57,154.29,77.65,139.61
2021-04-21,168.92,44.21,38.82,144.25,142.07,161.94,158.54,148.15,81.58,140.63
2021-04-22,175.03,53.34,44.78,156.26,166.89,169.56,175.37,171.15,93.58,150.73
2021-04-23,200.76,67.72,58.3,191.4,205.95,203.3,218.9,226.78,126.76,192.63
2021-04-24,187.52,63.17,60.24,186.98,232.66,195.55,213.86,266.05,130.33,194.74
2021-04-25,144.33,39.9,36.88,130.61,132.46,151.37,162.59,154.22,88.72,147.71
2021-04-26,181.27,40.43,34.74,155.03,152.57,163.19,162.62,178.33,83.23,142.39
2021-04-27,211.02,51.61,40.63,168.1,159.73,184.65,197.71,210.43,109.68,184.32
2021-04-28,202.61,49.03,41.1,159.05,158.08,181.86,183.13,188.46,102.48,156.66
2021-04-29,169.3,52.91,47.66,157.49,165.57,171.2,170.65,188.83,103.93,143.6
2021-04-30,220.96,75.98,57.1,212.96,224.26,215.39,227.67,280.03,145.29,195.53
2021-05-01,235.54,76.33,65.53,210.34,266.01,203.99,234.91,531.36,151.6,228.82
2021-05-02,172.17,50.39,39.49,151.06,166.1,166.49,182.62,462.06,107.16,218.26
2021-05-03,170.38,40.74,36.35,154.97,161.84,165.41,157.87,211.61,78.42,136.24
2021-05-04,181.08,42.78,33.0,153.35,155.76,176.83,180.95,216.42,89.08,155.46
2021-05-05,208.47,46.27,40.83,170.28,169.76,183.51,191.09,253.4,88.91,170.79
2021-05-06,189.68,41.54,51.34,149.11,163.05,192.93,184.45,219.9,81.88,158.61
2021-05-07,223.5,49.01,62.05,199.5,220.65,214.91,232.87,324.48,101.15,198.49
2021-05-08,221.27,47.21,62.58,197.15,220.9,219.91,246.6,541.57,111.99,233.19
2021-05-09,145.03,26.38,35.48,119.5,114.78,139.83,140.09,204.44,57.49,130.36
2021-05-10,183.5,40.69,25.97,140.95,158.95,186.49,184.3,180.1,70.72,152.97
2021-05-11,200.0,45.41,32.66,158.44,168.87,187.64,188.98,201.48,81.52,163.71
2021-05-12,217.13,43.9,32.2,168.27,180.43,208.06,210.11,193.64,81.48,176.7
2021-05-13,222.17,45.78,36.75,175.98,194.42,201.99,211.71,222.12,90.07,182.32
2021-05-14,240.38,51.7,39.69,230.17,223.5,226.57,262.0,282.77,114.79,229.61
2021-05-15,225.67,47.97,61.78,197.15,239.78,225.13,258.21,287.8,116.27,270.61
2021-05-16,185.48,37.28,33.07,143.97,139.28,172.1,165.12,171.82,74.51,169.07
2021-05-17,206.56,41.93,32.06,150.78,170.53,199.43,201.45,200.44,83.52,165.23
2021-05-18,214.9,45.64,34.67,166.93,179.82,208.43,210.93,198.08,88.0,184.08
2021-05-19,207.83,44.16,31.12,168.72,172.13,208.76,216.52,183.51,92.49,182.54
2021-05-20,226.18,47.31,34.0,176.87,192.67,215.2,228.59,199.78,93.82,195.86
2021-05-21,255.29,54.03,46.25,215.81,240.71,245.61,275.43,280.4,121.11,252.02
2021-05-22,229.94,53.04,47.26,210.11,268.15,229.8,268.7,323.22,136.86,293.01
2021-05-23,172.8,33.84,25.44,126.54,144.66,163.32,175.27,147.19,73.91,156.41
2021-05-24,203.18,42.17,30.25,164.47,174.31,196.92,201.43,204.29,80.71,176.0
2021-05-25,206.43,45.35,31.26,160.95,182.69,201.51,212.58,202.81,87.52,183.64
2021-05-26,199.87,45.43,34.2,174.53,186.64,190.83,206.6,221.6,80.14,172.53
2021-05-27,202.17,47.63,31.66,175.08,182.29,209.04,224.89,195.78,90.27,186.76
2021-05-28,204.78,44.78,40.43,195.2,202.55,197.47,208.08,209.99,84.6,191.81
2021-05-29,211.46,41.82,48.53,199.94,231.5,208.27,229.04,291.12,115.36,284.05
2021-05-30,185.22,34.85,28.38,143.41,152.74,190.55,179.55,244.08,91.82,219.82
2021-05-31,150.32,29.96,27.58,126.54,123.84,157.88,146.19,184.69,75.01,183.46
2021-06-01,216.75,47.3,31.99,162.91,179.42,205.02,214.8,196.01,90.05,180.16
2021-06-02,223.31,44.07,31.46,166.37,185.37,204.83,204.97,194.75,83.6,165.59
2021-06-03,251.72,47.94,33.8,193.91,210.52,221.09,232.13,233.06,101.34,202.93
2021-06-04,271.4,60.38,50.13,230.95,261.16,254.69,271.75,324.56,125.85,260.47
2021-06-05,269.68,52.1,37.75,224.19,285.28,258.54,272.1,377.88,132.46,310.04
2021-06-06,188.79,37.04,30.92,142.12,155.19,201.72,195.77,244.97,86.71,192.63
2021-06-07,218.28,44.27,27.58,173.41,171.62,200.13,204.17,218.64,85.38,174.38
2021-06-08,211.21,45.51,33.47,175.42,184.07,201.73,211.29,220.41,88.04,176.23
2021-06-09,222.48,50.29,34.4,186.76,192.0,223.63,225.73,216.12,95.11,209.89
2021-06-10,248.47,53.85,40.16,194.19,207.73,230.46,243.43,261.32,99.85,213.76
2021-06-11,260.45,54.67,39.02,236.7,250.99,254.61,280.36,307.84,129.43,266.94
2021-06-12,249.3,53.81,41.5,239.55,265.52,238.93,273.02,328.99,132.0,297.13
2021-06-13,210.25,40.86,29.12,162.51,154.42,200.98,197.33,232.84,97.68,213.27
2021-06-14,208.85,47.88,33.8,185.14,200.66,197.55,218.58,265.01,89.89,177.22
2021-06-15,240.89,48.71,35.61,187.43,195.88,210.96,238.96,254.59,96.44,191.64
2021-06-16,237.64,55.86,35.41,178.83,217.59,221.9,247.92,249.93,102.12,197.55
2021-06-17,254.46,55.16,44.11,196.98,215.91,225.76,260.58,268.64,109.41,209.93
2021-06-18,262.48,63.13,42.5,239.16,258.64,243.45,283.28,306.36,133.2,244.01
2021-06-19,257.96,58.55,35.41,203.07,237.58,213.41,270.02,293.49,124.92,279.69
2021-06-20,164.14,34.6,26.1,120.0,131.35,166.99,173.89,150.15,80.72,170.39
2021-06-21,220.38,46.78,31.26,188.44,181.32,207.14,219.35,250.0,91.13,181.14
2021-06-22,221.91,47.63,35.94,180.84,195.18,208.52,241.43,272.26,103.94,190.97
2021-06-23,225.16,50.12,34.07,181.84,196.17,215.68,237.68,256.66,100.94,201.89
2021-06-24,223.69,48.83,40.23,200.95,196.15,222.12,241.84,235.8,105.39,212.65
2021-06-25,228.47,54.82,46.39,226.59,250.96,210.09,239.4,274.93,113.68,234.59
2021-06-26,208.79,45.95,42.9,198.1,251.34,210.04,234.9,289.42,127.06,259.4
2021-06-27,188.66,38.87,32.6,146.65,153.04,177.71,190.5,218.27,87.88,200.5
2021-06-28,222.17,46.84,36.88,174.75,183.75,208.32,221.72,247.34,95.5,194.05
2021-06-29,217.39,45.26,37.22,175.53,192.74,207.1,220.11,240.46,94.84,186.79
2021-06-30,247.9,50.56,36.95,188.49,202.72,225.63,241.97,247.93,101.63,201.6
2021-07-01,241.21,50.18,36.81,198.44,211.26,224.43,249.33,281.43,114.64,213.4
2021-07-02,256.43,49.17,42.1,217.88,233.74,238.76,266.98,310.43,123.71,273.81
2021-07-03,213.76,39.24,29.32,182.01,238.51,206.37,222.91,307.1,110.98,284.69
2021-07-04,188.66,30.46,25.9,119.94,136.63,177.01,156.1,459.84,71.55,211.36
2021-07-05,170.57,36.39,33.73,142.85,145.38,178.54,176.82,269.3,83.81,166.18
2021-07-06,216.62,46.79,32.73,191.45,191.97,210.81,227.24,303.03,99.81,189.09
2021-07-07,204.59,47.08,36.95,198.27,199.95,203.73,221.88,282.47,97.11,187.78
2021-07-08,219.87,51.43,40.63,199.78,212.74,215.06,240.18,293.71,107.36,197.63
2021-07-09,270.06,58.66,48.59,243.3,285.22,262.01,287.27,340.61,147.23,271.87
2021-07-10,243.31,55.74,38.49,205.25,266.13,234.8,262.85,350.52,148.71,306.26
2021-07-11,170.19,36.82,31.06,136.42,154.39,166.35,167.64,205.84,79.93,157.84
2021-07-12,220.32,48.3,55.15,170.67,194.19,207.92,219.79,266.05,93.11,181.44
2021-07-13,218.85,48.45,42.3,191.28,214.15,210.15,221.9,264.64,95.92,180.38
2021-07-14,230.25,52.66,42.7,194.58,237.05,220.94,251.83,270.19,123.59,201.23
2021-07-15,225.41,51.2,37.82,206.93,225.57,212.08,247.08,266.2,143.73,210.7
2021-07-16,252.74,54.14,52.88,216.54,291.78,208.73,240.14,324.04,143.17,203.38
2021-07-17,242.1,57.77,45.31,228.88,285.38,234.21,281.95,368.12,233.57,342.56
2021-07-18,184.14,43.02,28.38,154.69,160.16,185.24,193.57,251.41,107.97,216.74
2021-07-19,215.8,52.58,44.58,183.35,190.96,210.77,221.75,268.12,107.66,204.83
2021-07-20,217.13,50.44,34.2,192.91,207.29,212.69,235.62,278.99,108.18,202.2
2021-07-21,225.48,54.29,36.95,189.94,222.5,216.22,245.66,285.5,111.75,216.1
2021-07-22,217.83,54.48,40.76,195.36,224.4,219.39,248.76,280.18,112.81,224.29
2021-07-23,260.13,57.06,43.78,215.59,273.24,221.55,264.09,314.42,133.44,239.1
2021-07-24,223.69,55.58,51.81,213.97,281.35,209.34,257.48,333.06,135.45,247.4
2021-07-25,188.66,40.58,39.42,141.4,149.73,184.98,193.8,253.03,103.46,211.35
2021-07-26,213.76,47.56,37.88,189.16,188.88,203.86,226.3,260.8,98.59,191.51
2021-07-27,222.8,47.91,36.68,194.47,194.88,206.16,226.27,267.97,108.29,196.42
2021-07-28,230.57,51.94,34.27,192.4,192.86,212.64,235.72,258.28,103.37,202.23
2021-07-29,241.91,50.35,42.5,193.74,209.34,204.08,233.66,275.52,107.83,218.79
2021-07-30,256.88,59.62,51.61,242.51,262.55,233.03,272.16,352.74,136.87,273.27
2021-07-31,258.09,51.75,41.1,215.81,257.07,214.5,273.04,367.01,139.02,326.4
2021-08-01,160.38,45.04,30.52,144.25,155.07,172.6,183.09,240.61,95.11,200.94
2021-08-02,214.97,55.62,39.96,178.6,189.42,217.58,221.66,281.29,103.95,192.71
2021-08-03,218.73,54.25,42.7,204.36,195.3,213.08,231.15,327.29,108.15,205.2
2021-08-04,226.11,53.62,38.62,195.42,195.5,206.09,230.78,288.98,106.85,209.1
2021-08-05,225.67,51.58,43.24,220.5,205.46,206.35,229.45,295.93,112.28,210.86
2021-08-06,241.85,63.44,63.59,237.09,271.3,222.84,267.74,364.87,129.5,271.87
2021-08-07,232.99,61.59,45.18,203.35,278.01,225.89,260.3,654.81,139.92,299.11
2021-08-08,158.66,46.12,32.13,151.12,152.7,169.52,174.11,210.95,93.95,209.11
2021-08-09,220.96,52.47,41.03,192.96,183.89,192.69,203.86,241.27,99.38,176.23
2021-08-10,217.71,51.39,32.66,187.6,204.1,203.45,230.95,244.97,101.89,242.21
2021-08-11,235.03,54.83,39.29,185.31,197.66,205.54,231.27,240.24,100.54,188.9
2021-08-12,237.83,59.11,43.71,214.86,215.19,224.72,248.0,279.73,115.97,209.2
2021-08-13,266.05,68.4,56.63,227.15,288.09,241.68,287.01,329.66,139.9,350.07
2021-08-14,281.46,65.52,55.02,233.46,304.57,229.26,294.71,362.28,145.9,347.9
2021-08-15,172.68,49.15,50.33,149.94,160.27,174.3,209.54,237.72,112.08,223.86
2021-08-16,209.68,63.7,41.83,186.37,206.03,204.17,215.65,258.14,114.1,180.28
2021-08-17,211.97,70.79,45.58,184.53,198.47,210.52,229.08,263.39,122.42,212.11
2021-08-18,243.38,70.04,45.52,191.34,207.54,217.2,229.17,251.04,121.17,214.96
2021-08-19,267.32,74.63,53.41,194.97,230.39,217.44,249.55,283.36,132.99,222.02
2021-08-20,295.54,80.74,67.67,259.11,278.23,236.51,297.94,337.65,157.79,267.88
2021-08-21,263.76,77.86,63.39,251.4,285.23,227.38,333.12,373.82,169.26,298.4
2021-08-22,176.05,71.23,67.07,171.06,172.78,173.91,182.04,308.8,144.7,180.41
2021-08-23,225.73,102.18,80.39,186.2,203.91,200.3,217.04,416.35,195.28,184.98
2021-08-24,215.99,95.34,78.78,218.32,200.54,213.23,223.67,437.06,237.68,191.67
2021-08-25,247.58,115.51,140.5,222.57,223.0,215.04,233.74,497.12,327.83,194.37
2021-08-26,237.01,180.36,122.22,254.64,237.1,217.31,237.18,428.7,455.0,207.44
2021-08-27,278.73,287.91,204.22,335.08,384.96,221.38,257.97,572.19,585.22,290.42
2021-08-28,270.0,417.62,317.54,358.27,360.64,219.35,266.53,557.99,601.94,318.99
2021-08-29,190.0,428.51,256.96,231.06,169.98,170.77,186.02,416.42,519.81,183.68
2021-08-30,229.55,578.09,546.45,303.18,238.86,203.43,218.81,750.44,824.57,206.7
2021-08-31,240.32,625.67,417.07,320.39,230.17,214.39,232.5,646.01,667.14,207.19
2021-09-01,228.47,804.98,274.9,497.04,217.99,215.44,231.59,485.36,511.83,229.25
2021-09-02,235.16,635.46,242.84,418.27,223.42,222.45,249.99,451.85,524.99,234.08
2021-09-03,248.73,439.84,150.2,348.94,252.87,227.14,298.23,449.04,502.24,248.91
2021-09-04,215.1,202.4,88.22,273.8,240.32,202.12,276.8,363.68,563.25,247.4
2021-09-05,162.68,147.42,85.54,195.75,167.91,180.48,252.31,326.92,286.66,205.71
2021-09-06,161.72,163.96,76.71,161.73,139.8,159.67,202.27,233.8,201.15,149.38
2021-09-07,214.08,426.75,161.71,302.63,180.17,208.12,215.85,321.23,355.65,196.62
2021-09-08,220.83,480.76,167.2,305.08,209.38,208.97,245.2,335.28,364.35,204.36
2021-09-09,224.97,356.72,156.22,278.72,207.86,199.59,229.35,328.62,360.42,205.33
2021-09-10,256.69,349.51,130.66,344.64,266.25,231.73,284.37,401.04,460.8,275.27
2021-09-11,247.07,465.69,168.67,438.16,294.17,235.52,266.58,452.59,603.37,298.22
2021-09-12,146.5,238.71,63.19,173.13,161.29,172.01,181.66,209.39,219.04,258.98
2021-09-13,226.31,316.17,116.73,256.87,194.42,194.34,194.9,256.43,274.26,181.32
2021-09-14,204.14,287.48,113.65,239.94,191.33,203.14,219.91,262.5,251.92,190.87
2021-09-15,226.82,298.94,122.69,222.51,209.36,206.59,223.71,265.38,249.55,202.39
2021-09-16,230.76,278.58,114.06,245.14,234.74,211.96,226.71,294.01,276.27,208.31
2021-09-17,268.22,290.89,108.3,306.76,314.75,242.14,272.46,391.2,340.6,262.78
2021-09-18,273.18,236.56,103.41,323.35,382.19,236.49,277.6,464.28,419.48,297.9
2021-09-19,167.2,124.33,59.97,159.44,208.28,169.0,186.15,204.96,206.23,202.46
2021-09-20,201.27,204.1,90.09,193.35,186.76,188.95,198.76,255.55,217.03,238.09
2021-09-21,206.94,212.45,85.01,198.21,180.66,197.77,195.29,229.44,198.82,194.75
2021-09-22,198.28,199.46,98.93,199.55,200.07,187.95,184.41,233.06,188.78,163.62
2021-09-23,201.97,184.35,91.7,207.77,198.49,203.21,209.48,231.95,239.03,184.12
2021-09-24,274.84,250.1,124.3,313.3,326.98,243.21,283.29,351.11,362.83,283.34
2021-09-25,236.11,459.94,160.78,368.99,394.89,228.8,269.96,362.94,471.32,301.94
2021-09-26,146.88,132.56,66.2,172.79,204.17,163.52,203.62,179.96,194.45,254.48
2021-09-27,202.87,191.89,83.13,197.04,207.59,207.25,212.66,222.12,200.76,184.48
2021-09-28,219.3,194.31,93.98,207.26,219.04,196.46,208.3,252.88,202.16,185.07
2021-09-29,203.89,209.64,88.76,206.54,223.98,208.43,224.09,227.51,209.54,192.54
2021-09-30,215.61,196.44,95.78,214.41,266.7,205.98,224.09,248.45,230.11,205.48
2021-10-01,260.13,258.54,89.76,278.44,332.38,250.48,278.11,342.53,281.22,267.85
2021-10-02,251.02,492.86,105.82,264.75,385.55,241.2,273.28,347.12,249.32,260.67
2021-10-03,154.08,113.02,56.96,156.93,208.65,151.07,156.52,161.17,142.07,150.28
2021-10-04,191.78,145.01,66.8,183.13,167.39,184.67,188.89,203.99,133.44,179.76
2021-10-05,208.79,165.0,75.77,193.85,178.78,192.92,200.73,212.13,178.53,170.95
2021-10-06,218.22,167.22,68.07,192.18,189.05,193.28,206.55,220.19,185.9,177.42
2021-10-07,229.11,181.01,88.15,207.65,187.74,206.46,221.37,223.74,206.44,188.94
2021-10-08,249.68,184.21,80.79,300.22,256.8,240.65,252.15,339.57,292.83,237.46
2021-10-09,237.71,163.41,91.9,391.12,335.4,248.3,272.71,468.2,329.15,302.41
2021-10-10,148.03,94.28,49.26,165.2,171.57,156.57,173.04,195.93,163.56,186.85
2021-10-11,195.48,141.78,67.54,190.11,178.63,190.06,198.15,208.36,174.1,170.37
2021-10-12,203.31,160.08,55.62,192.07,170.98,209.82,201.29,220.04,172.55,178.01
2021-10-13,211.21,160.36,71.08,216.26,197.11,204.61,222.46,218.86,182.34,183.03
2021-10-14,212.87,160.77,91.63,215.03,191.99,203.63,222.2,224.93,195.92,206.08
2021-10-15,263.06,167.17,130.99,280.34,283.35,221.97,246.89,323.3,198.66,245.02
2021-10-16,233.31,146.2,276.77,505.25,314.84,240.24,279.75,483.43,174.07,302.22
2021-10-17,146.24,93.78,72.69,187.71,178.7,178.78,178.54,184.25,113.3,302.57
