,Ingham,Kent,Macomb,Oakland,Washtenaw,Wayne
2020-06-11,16.6,53.65,106.48,102.78,23.81,58.56
2020-06-12,17.32,57.15,84.78,96.15,24.68,63.33
2020-06-13,16.04,56.02,81.02,78.63,23.16,56.65
2020-06-14,11.99,48.72,65.19,80.56,19.1,51.94
2020-06-15,15.89,56.5,97.75,105.69,24.57,61.18
2020-06-16,15.51,55.96,96.25,96.19,24.65,63.44
2020-06-17,16.98,57.63,97.75,87.41,24.76,64.51
2020-06-18,16.75,63.38,94.33,97.8,26.17,60.28
2020-06-19,18.46,67.95,94.2,98.61,27.33,66.89
2020-06-20,14.37,59.7,87.99,101.08,24.14,61.63
2020-06-21,11.01,42.61,71.54,65.55,21.31,50.51
2020-06-22,16.72,60.53,90.65,96.82,30.84,65.37
2020-06-23,13.31,53.47,88.46,101.03,29.18,61.89
2020-06-24,14.6,64.15,99.11,101.03,29.72,59.69
2020-06-25,15.51,58.28,101.84,94.04,27.84,66.44
2020-06-26,17.81,57.74,105.46,96.1,25.7,66.38
2020-06-27,13.12,62.08,96.72,90.59,25.19,63.73
2020-06-28,11.88,56.38,83.34,81.54,22.54,57.83
2020-06-29,15.81,56.68,92.9,97.36,27.04,64.38
2020-06-30,15.32,59.05,99.59,93.86,26.35,61.68
2020-07-01,14.49,57.63,91.54,106.63,30.7,63.8
2020-07-02,16.49,58.52,92.35,99.42,26.17,63.55
2020-07-03,11.69,58.28,95.22,97.4,21.49,59.04
2020-07-04,9.38,42.91,74.68,79.97,17.47,56.21
2020-07-05,10.55,49.2,78.5,70.56,21.35,55.49
2020-07-06,15.81,58.04,96.79,87.59,24.83,61.65
2020-07-07,14.18,56.26,90.38,94.49,30.01,65.19
2020-07-08,14.79,67.12,98.16,90.5,29.1,61.65
2020-07-09,13.28,61.96,91.47,94.8,25.88,63.18
2020-07-10,13.54,58.28,90.85,91.04,27.87,57.79
2020-07-11,11.72,61.72,91.4,88.62,22.58,62.0
2020-07-12,11.42,50.92,83.69,71.55,23.27,55.03
2020-07-13,11.84,60.71,81.5,87.77,26.28,61.35
2020-07-14,16.11,63.09,90.24,95.7,26.21,61.34
2020-07-15,12.25,56.91,84.03,96.46,27.22,62.28
2020-07-16,14.9,57.03,76.72,86.29,25.23,56.22
2020-07-17,16.75,70.15,91.6,94.53,26.06,63.65
2020-07-18,15.66,58.99,87.58,88.71,26.57,64.58
2020-07-19,12.33,44.57,70.38,65.32,22.25,46.85
2020-07-20,16.6,89.5,85.8,89.87,27.04,60.92
2020-07-21,18.27,63.68,93.38,84.5,25.95,60.64
2020-07-22,16.72,66.41,83.34,87.68,22.0,58.94
2020-07-23,18.23,65.88,88.33,88.35,23.16,60.86
2020-07-24,17.51,71.28,85.05,97.45,27.76,65.05
2020-07-25,13.92,61.9,89.42,99.01,25.37,61.27
2020-07-26,14.26,51.99,87.85,79.26,23.81,56.65
2020-07-27,17.81,58.87,94.68,90.86,26.35,60.16
2020-07-28,16.94,63.56,90.65,82.71,25.55,61.75
2020-07-29,14.75,62.61,88.05,93.46,25.41,62.36
2020-07-30,14.64,60.24,80.48,90.68,26.86,59.34
2020-07-31,16.19,63.03,88.67,85.3,27.29,60.31
2020-08-01,15.85,59.17,85.19,86.92,24.54,51.94
2020-08-02,12.07,43.74,71.47,61.42,17.98,45.57
2020-08-03,16.79,58.99,113.65,84.41,23.34,59.55
2020-08-04,16.04,61.25,87.92,85.35,30.01,59.76
2020-08-05,16.3,56.2,84.85,81.45,26.42,58.0
2020-08-06,14.98,58.93,93.31,89.7,25.59,62.92
2020-08-07,15.32,60.89,87.65,98.57,30.55,63.35
2020-08-08,15.13,58.52,84.3,90.55,26.46,63.66
2020-08-09,12.63,49.91,82.39,75.49,24.25,55.89
2020-08-10,16.68,54.48,91.19,78.99,30.01,60.37
2020-08-11,18.27,54.12,87.03,88.35,28.56,60.35
2020-08-12,19.7,62.79,84.03,86.38,27.44,60.56
2020-08-13,16.15,59.17,78.63,78.32,24.76,62.79
2020-08-14,21.52,64.27,91.19,89.74,26.17,60.95
2020-08-15,16.26,54.3,89.08,82.66,23.63,64.22
2020-08-16,15.28,50.21,70.72,69.27,24.21,54.99
2020-08-17,16.72,58.64,93.45,84.72,28.63,63.39
2020-08-18,18.19,57.74,84.78,83.42,26.53,60.44
2020-08-19,17.13,62.2,91.47,83.96,26.75,61.45
2020-08-20,16.11,57.74,88.4,86.34,28.52,60.39
2020-08-21,15.81,62.02,92.63,85.22,26.93,63.69
