,Ingham,Kent,Macomb,Oakland,Washtenaw,Wayne
2021-05-22,16.91,58.75,72.15,75.72,29.65,52.12
2021-05-23,14.75,52.52,53.17,57.62,24.76,43.06
2021-05-24,17.59,59.53,76.31,63.44,37.44,50.49
2021-05-25,16.75,60.95,70.72,72.85,31.28,50.47
2021-05-26,18.84,64.81,77.06,69.8,31.24,48.05
2021-05-27,17.62,59.76,72.97,72.4,28.23,47.78
2021-05-28,15.58,63.5,68.53,73.84,28.67,47.8
2021-05-29,16.38,51.16,75.43,69.98,29.72,49.49
2021-05-30,13.28,40.77,57.41,62.54,23.05,42.75
2021-05-31,15.81,49.61,55.77,60.22,19.93,42.64
2021-06-01,18.19,62.43,100.14,75.76,34.0,51.37
2021-06-02,18.42,62.79,74.06,71.68,30.95,49.24
2021-06-03,19.93,71.99,86.01,78.0,36.57,53.05
2021-06-04,17.47,68.55,86.69,86.47,39.72,58.55
2021-06-05,17.06,69.02,88.46,81.41,34.51,54.85
2021-06-06,13.16,50.62,70.17,70.52,31.79,47.24
2021-06-07,17.4,65.34,81.91,71.86,35.38,54.52
2021-06-08,19.89,64.15,79.73,81.45,36.57,52.27
2021-06-09,17.06,70.92,83.41,84.9,35.67,54.86
2021-06-10,18.27,68.31,92.01,82.62,33.67,57.07
2021-06-11,15.66,62.85,79.59,79.12,36.03,57.11
2021-06-12,18.65,66.11,98.29,77.55,30.48,54.38
2021-06-13,16.79,51.28,69.49,70.34,26.97,46.01
2021-06-14,17.55,73.77,76.79,81.81,37.37,53.02
2021-06-15,19.55,66.82,78.63,83.06,36.17,57.43
2021-06-16,21.75,72.46,92.22,89.74,35.92,55.97
2021-06-17,20.12,72.46,91.4,83.06,36.39,57.86
2021-06-18,20.01,68.19,86.21,74.78,36.03,55.7
2021-06-19,15.39,62.14,68.67,73.43,35.63,52.44
2021-06-20,13.12,48.37,67.65,64.52,23.7,48.86
2021-06-21,18.68,73.41,89.08,77.06,37.73,55.96
2021-06-22,17.06,64.09,87.03,74.1,35.52,55.0
2021-06-23,20.12,68.72,85.67,70.61,43.97,54.6
2021-06-24,18.27,67.36,78.77,80.24,36.1,57.69
2021-06-25,15.81,63.26,73.17,74.6,37.44,55.88
2021-06-26,12.44,61.07,78.5,70.16,36.68,59.58
2021-06-27,15.32,56.68,75.7,66.49,35.48,49.89
2021-06-28,18.99,68.72,87.17,80.42,39.65,57.75
2021-06-29,18.38,75.49,77.2,74.6,40.01,59.47
2021-06-30,19.1,63.92,82.18,79.7,41.61,58.68
2021-07-01,17.55,72.05,87.58,78.23,41.43,58.59
2021-07-02,19.59,66.11,87.65,71.77,38.53,58.8
2021-07-03,15.24,61.72,66.89,71.68,33.31,51.3
2021-07-04,11.16,41.13,59.93,57.75,25.23,47.15
2021-07-05,19.59,55.55,75.77,71.01,35.67,51.27
2021-07-06,23.71,70.62,88.94,77.28,40.96,60.89
2021-07-07,18.0,68.49,84.16,77.37,42.55,56.96
2021-07-08,23.9,68.61,78.7,71.64,42.62,57.75
2021-07-09,18.8,71.81,86.62,80.06,43.6,61.77
2021-07-10,18.65,73.29,74.61,78.09,34.76,58.16
2021-07-11,18.87,50.68,66.21,62.05,31.79,45.75
2021-07-12,18.84,76.62,85.32,73.48,37.3,57.55
2021-07-13,15.43,71.1,78.84,75.13,39.98,55.88
2021-07-14,18.38,71.34,80.68,76.03,46.32,60.19
2021-07-15,21.26,65.1,72.56,76.97,42.95,61.63
2021-07-16,21.1,71.57,70.78,81.41,43.71,55.89
2021-07-17,18.65,64.15,73.45,71.42,41.28,57.26
2021-07-18,16.0,53.35,68.94,65.82,34.9,50.21
2021-07-19,20.5,80.65,89.22,78.05,44.8,62.17
2021-07-20,17.1,70.86,85.19,80.2,45.56,60.7
2021-07-21,16.91,72.46,88.94,80.96,40.85,62.51
2021-07-22,19.29,78.69,83.48,83.87,40.63,58.33
2021-07-23,18.12,66.23,80.61,72.22,43.31,58.48
2021-07-24,15.66,69.32,79.66,76.16,36.82,56.96
2021-07-25,14.3,55.19,75.7,66.17,35.96,52.74
2021-07-26,21.9,66.65,91.4,80.56,43.6,59.99
2021-07-27,19.59,68.37,83.07,81.14,45.38,57.86
2021-07-28,20.08,74.01,90.44,75.99,45.89,63.36
2021-07-29,21.03,67.24,86.62,80.29,39.54,60.95
2021-07-30,18.91,68.66,77.41,75.49,36.57,65.27
2021-07-31,18.72,59.29,76.25,80.2,34.61,59.16
2021-08-01,20.35,55.13,71.95,64.29,37.95,49.63
2021-08-02,22.01,66.65,87.92,71.95,46.97,59.37
2021-08-03,19.4,74.3,87.24,74.78,44.91,58.95
2021-08-04,18.99,71.57,74.54,76.12,46.76,59.65
2021-08-05,22.81,75.31,75.15,71.19,45.02,60.84
2021-08-06,22.84,67.36,83.34,85.35,40.38,59.7
2021-08-07,16.98,58.93,82.32,77.96,41.46,57.0
2021-08-08,19.7,51.75,65.32,64.56,39.94,48.61
2021-08-09,21.1,64.63,85.53,79.61,43.53,57.19
2021-08-10,18.99,75.19,84.85,80.82,42.44,59.69
2021-08-11,21.07,72.28,88.19,76.57,47.59,59.95
2021-08-12,24.28,72.23,86.83,77.55,48.82,59.94
2021-08-13,22.84,63.62,90.65,86.47,51.25,64.99
2021-08-14,20.69,66.23,84.78,80.87,38.82,57.77
2021-08-15,18.68,55.91,71.33,65.59,40.27,51.54
2021-08-16,23.98,74.66,85.19,77.73,52.27,59.83
2021-08-17,27.27,70.15,90.17,76.21,56.07,60.48
2021-08-18,28.03,66.11,83.34,80.87,52.85,60.45
2021-08-19,29.05,76.97,84.23,87.59,63.36,63.96
2021-08-20,30.98,79.17,83.89,83.02,65.13,66.35
2021-08-21,26.02,75.55,83.0,86.83,62.96,64.56
2021-08-22,25.04,60.47,72.76,64.7,69.12,53.01
2021-08-23,33.81,87.66,85.8,75.09,98.12,66.82
2021-08-24,33.66,88.07,93.45,77.91,105.69,61.06
2021-08-25,36.57,87.66,88.19,75.31,131.28,66.53
2021-08-26,51.06,100.0,90.17,77.78,180.39,64.26
2021-08-27,60.25,108.07,85.19,76.7,193.08,66.99
2021-08-28,73.52,90.98,69.08,81.99,190.03,57.95
2021-08-29,86.16,69.14,67.1,65.99,244.98,52.56
2021-08-30,221.86,126.71,85.73,75.13,326.71,64.88
2021-08-31,304.95,117.45,80.14,78.14,267.56,63.51
2021-09-01,342.62,97.69,83.28,75.13,213.85,66.55
2021-09-02,297.28,87.83,81.3,77.64,226.1,66.34
2021-09-03,186.61,81.48,84.78,80.78,206.67,66.02
2021-09-04,86.69,77.57,75.36,74.6,140.81,56.04
2021-09-05,71.1,58.75,66.08,63.8,111.31,51.9
2021-09-06,65.36,55.37,71.06,63.8,78.58,51.41
2021-09-07,255.22,94.72,81.71,79.97,182.67,68.67
2021-09-08,258.85,95.19,83.34,81.9,189.16,73.45
2021-09-09,224.62,80.42,78.7,83.42,181.88,65.35
2021-09-10,193.12,83.98,87.17,85.8,193.95,71.24
2021-09-11,123.71,78.99,77.13,82.8,130.92,60.6
2021-09-12,108.59,59.94,63.96,64.74,100.14,52.79
2021-09-13,221.22,82.91,81.3,74.51,151.4,67.34
2021-09-14,195.12,79.23,79.25,70.39,149.26,69.53
2021-09-15,200.57,98.22,81.02,70.47,152.05,65.85
2021-09-16,205.37,84.04,78.43,74.87,149.0,65.05
2021-09-17,167.66,90.8,86.76,84.54,164.23,72.16
2021-09-18,92.97,83.62,78.57,90.32,117.07,59.55
2021-09-19,70.31,67.66,62.12,66.89,95.9,53.66
2021-09-20,161.46,88.55,87.1,77.51,129.03,72.01
2021-09-21,176.55,91.75,88.4,82.8,127.04,69.76
2021-09-22,208.28,89.38,81.77,80.33,140.63,60.32
2021-09-23,218.08,79.58,94.33,79.39,162.12,60.42
2021-09-24,153.78,91.16,82.46,86.11,157.77,69.22
2021-09-25,103.86,81.13,81.5,77.82,114.72,59.51
2021-09-26,77.0,62.31,67.51,68.82,90.14,53.96
2021-09-27,152.87,88.31,89.62,82.26,130.52,66.8
2021-09-28,165.62,84.99,97.47,86.34,125.26,65.83
2021-09-29,161.42,83.03,85.8,86.6,131.97,68.53
2021-09-30,157.22,90.74,92.01,77.87,137.44,68.11
2021-10-01,145.57,91.99,98.7,83.02,142.3,68.21
2021-10-02,94.7,78.28,85.46,80.91,100.87,59.95
2021-10-03,68.42,51.57,71.13,62.32,68.94,50.08
2021-10-04,140.81,80.12,96.31,78.67,88.47,66.77
2021-10-05,142.81,79.23,84.37,77.28,124.25,59.67
2021-10-06,143.12,80.36,88.12,73.34,115.33,68.25
2021-10-07,150.04,85.88,82.05,74.55,121.02,62.67
2021-10-08,125.42,87.48,98.63,78.81,139.29,66.81
2021-10-09,72.73,81.01,89.62,74.96,104.06,63.65
2021-10-10,61.99,61.42,74.88,64.52,81.19,50.51
2021-10-11,127.65,83.5,83.48,76.52,111.09,64.86
2021-10-12,142.28,81.48,88.12,84.23,109.86,65.85
2021-10-13,128.21,79.05,85.73,73.03,119.93,64.11
2021-10-14,147.84,77.39,84.37,87.63,129.76,64.81
2021-10-15,128.63,93.59,92.08,88.58,126.57,67.38
2021-10-16,81.73,71.34,80.48,77.55,85.61,59.76
2021-10-17,64.11,59.82,71.47,68.68,64.04,53.56
